"";"LONGITUDE";"LATITUDE";"BRIGHTNESS";"TAHUN";"BULAN"
"1";102,627;-0,951;319,8;"2014";"05"
"2";102,635;-0,941;328,9;"2014";"05"
"3";102,534;-0,996;323,3;"2014";"07"
"4";102,542;-1,001;313,2;"2014";"07"
"5";102,586;-0,963;322,7;"2014";"09"
"6";102,597;-0,971;338,5;"2014";"09"
"7";102,562;-0,902;325,1;"2014";"09"
"8";102,594;-0,94;305,7;"2014";"10"
"9";102,597;-0,85;316,5;"2015";"09"
"10";102,71;-0,893;327,4;"2015";"09"
"11";102,596;-0,965;321,6;"2015";"09"
"12";102,599;-0,861;321,8;"2015";"09"
"13";102,608;-0,92;300,4;"2015";"09"
"14";102,599;-0,912;305;"2015";"10"
"15";102,692;-0,987;309,2;"2015";"10"
"16";102,615;-0,878;309;"2015";"10"
"17";102,56;-0,856;304,9;"2015";"10"
"18";102,668;-0,982;300,5;"2015";"10"
"19";102,684;-1,037;310,1;"2015";"10"
"20";102,586;-0,892;317,6;"2015";"11"
"21";102,207;-0,878;318,1;"2014";"03"
"22";102,204;-0,864;312,7;"2014";"06"
"23";102,21;-0,907;328,5;"2014";"06"
"24";102,223;-0,916;315,4;"2014";"07"
"25";102,215;-0,861;326,7;"2014";"07"
"26";102,142;-0,872;322,1;"2014";"07"
"27";102,237;-0,866;307;"2014";"07"
"28";102,22;-0,875;324,9;"2014";"07"
"29";102,226;-0,869;316,8;"2014";"07"
"30";102,228;-0,879;307,9;"2014";"07"
"31";102,224;-0,877;304,4;"2014";"07"
"32";102,235;-0,869;311,6;"2014";"07"
"33";102,226;-0,867;319,4;"2014";"07"
"34";102,207;-0,894;321,8;"2014";"07"
"35";102,216;-0,904;321,5;"2014";"07"
"36";102,217;-0,899;315,7;"2014";"07"
"37";102,212;-0,946;301;"2014";"07"
"38";102,221;-0,945;303,2;"2014";"07"
"39";102,214;-0,895;324,1;"2014";"08"
"40";102,243;-0,929;311,5;"2014";"09"
"41";102,2;-0,924;319,5;"2014";"10"
"42";102,187;-0,93;319,5;"2014";"10"
"43";102,186;-0,917;320,2;"2014";"10"
"44";102,174;-0,858;315,8;"2015";"01"
"45";102,207;-0,93;320,1;"2015";"01"
"46";102,234;-0,929;318,4;"2015";"06"
"47";102,219;-0,941;402,5;"2015";"06"
"48";102,227;-0,911;325,2;"2015";"07"
"49";102,244;-0,93;330,9;"2015";"07"
"50";102,162;-0,869;317,1;"2015";"07"
"51";102,221;-0,936;310,3;"2015";"08"
"52";102,205;-0,888;328,6;"2015";"08"
"53";102,237;-0,92;350,1;"2015";"08"
"54";102,208;-0,853;309,5;"2015";"08"
"55";102,217;-0,938;326,9;"2015";"08"
"56";102,225;-0,929;302,7;"2015";"08"
"57";102,225;-0,929;348,5;"2015";"08"
"58";102,219;-0,923;336;"2015";"08"
"59";102,23;-0,911;334,8;"2015";"08"
"60";102,245;-0,845;328,8;"2015";"08"
"61";102,189;-0,911;316,8;"2015";"09"
"62";102,213;-0,946;302,3;"2015";"09"
"63";102,211;-0,855;314,1;"2015";"09"
"64";102,208;-0,88;321,9;"2015";"09"
"65";102,226;-0,899;330,3;"2015";"09"
"66";102,216;-0,897;320,1;"2015";"09"
"67";102,215;-0,888;330,4;"2015";"09"
"68";102,217;-0,878;339,4;"2015";"09"
"69";102,245;-0,903;313,2;"2015";"09"
"70";102,239;-0,864;306,2;"2015";"10"
"71";102,228;-0,927;320,4;"2016";"08"
"72";101,723;-0,896;312;"2014";"02"
"73";101,714;-0,898;319,7;"2014";"02"
"74";101,67;-0,81;312,6;"2014";"06"
"75";101,676;-0,853;322,8;"2014";"06"
"76";101,671;-0,834;314;"2014";"06"
"77";101,665;-0,832;311,1;"2014";"06"
"78";101,669;-0,823;301,4;"2014";"06"
"79";101,681;-0,831;313,9;"2014";"06"
"80";101,672;-0,83;345,8;"2014";"06"
"81";101,773;-0,871;307,3;"2014";"06"
"82";101,767;-0,871;305,2;"2014";"06"
"83";101,674;-0,834;307,2;"2014";"06"
"84";101,664;-0,825;311;"2014";"06"
"85";101,66;-0,825;305,3;"2014";"06"
"86";101,7;-0,871;306,6;"2014";"06"
"87";101,703;-0,867;304,3;"2014";"06"
"88";101,697;-0,869;304,3;"2014";"06"
